ID,Plate Type,Primary Customer City,Primary Customer State,Registration Start Date,Registration Expiration Date,Registration Usage,Vehicle Type,Vehicle Weight,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Body,Primary Color,Vehicle Declared Gross Weight,Fuel Code,Vehicle Recorded GVWR,Vehicle Name,Type,Vehicle Category
52382,Passenger,RIDGEFIELD,CT,09/13/2023,09/12/2026,Regular,SUV,0,2024,Mercedes-benz,Gle 450e 4matic,SU,Green,3527432,H04,0,Mercedes GLE 450e,BEV,Light-Duty (Class 1-2)
52544,Passenger,WESTON,CT,09/18/2021,09/17/2024,Regular,Passenger,0,2022,Toyota,Prius Prime Le,SD,Blue,0,H04,0,Toyota Prius Prime,PHEV,Light-Duty (Class 1-2)
52582,Passenger,BRISTOL,CT,09/20/2021,09/19/2024,Regular,SUV,0,2021,Tesla,Model Y,SU,White,3044496,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
52586,Passenger,FARMINGTON,CT,09/20/2021,09/19/2024,Regular,Passenger,0,2021,Tesla,Model 3,4D,Gray,0,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
52658,Passenger,STAMFORD,CT,09/23/2021,09/22/2024,Regular,Passenger,0,2021,Tesla,Model 3,4D,Gray,0,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
52672,Passenger,MOOSUP,CT,09/23/2021,09/22/2024,Regular,Passenger,0,2019,Tesla,Model 3,4D,White,0,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
52728,Passenger,FAIRFIELD,CT,09/28/2021,09/27/2024,Regular,SUV,0,2021,Tesla,Model Y,SU,White,0,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
52761,Passenger,TRUMBULL,CT,09/20/2021,09/19/2024,Regular,SUV,0,2021,Tesla,Model Y,SU,Blue,1229980,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
52850,Passenger,PALO ALTO,CA,09/07/2021,09/06/2024,Regular,Passenger,0,2017,Tesla,Model S,4D,Black,0,E00,0,Tesla Model S,BEV,Light-Duty (Class 1-2)
52917,Passenger,WESTPORT,CT,09/23/2021,09/22/2024,Regular,Passenger,0,2021,Tesla,Model S,4D,Gray,0,E00,0,Tesla Model S,BEV,Light-Duty (Class 1-2)
52986,Passenger,WEST HARTFORD,CT,09/19/2021,09/18/2024,Regular,Passenger,0,2020,KIA,Niro Ex,4L,Red,0,E00,0,Kia Niro EV,BEV,Light-Duty (Class 1-2)
53085,Passenger,BETHANY,CT,09/23/2021,09/22/2024,Regular,SUV,0,2022,Hyundai,Santa Fe Limited,SU,Silver,0,H04,0,Hyundai Santa Fe Plug In,PHEV,Light-Duty (Class 1-2)
53137,Passenger,MILFORD,CT,09/20/2021,09/19/2024,Regular,Passenger,0,2021,Tesla,Model 3,4D,Gray,0,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
53157,Passenger,OLD GREENWICH,CT,09/20/2021,09/19/2024,Regular,SUV,0,2021,Tesla,Model Y,SU,White,0,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
53164,Passenger,WEST HARTFORD,CT,09/20/2021,09/19/2024,Regular,Passenger,0,2021,Tesla,Model 3,4D,White,0,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
53166,Passenger,NEWTOWN,CT,10/12/2021,10/11/2024,Regular,SUV,0,2021,Toyota,Rav4 Prime Se,EP,Gray,0,H04,0,Toyota RAV4 Prime,PHEV,Light-Duty (Class 1-2)
53263,Passenger,PALO ALTO,CA,09/07/2021,09/06/2024,Regular,Passenger,0,2020,Tesla,Model 3,4D,White,0,E00,0,Tesla Model 3,BEV,Light-Duty (Class 1-2)
53268,Passenger,DANBURY,CT,09/23/2021,09/22/2024,Regular,SUV,0,2021,Tesla,Model Y,SU,Gray,0,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
53311,Passenger,RIDGEFIELD,CT,09/23/2021,09/22/2024,Regular,Passenger,0,2021,Tesla,Model S,4D,Blue,0,E00,0,Tesla Model S,BEV,Light-Duty (Class 1-2)
53312,Passenger,BURLINGTON,CT,09/23/2021,09/22/2024,Regular,SUV,0,2021,Toyota,Rav4 Prime Se,EP,Gray,0,H04,0,Toyota RAV4 Prime,PHEV,Light-Duty (Class 1-2)
53313,Passenger,NORTH HAVEN,CT,09/29/2021,09/28/2024,Regular,SUV,0,2021,Tesla,Model Y,SU,White,0,E00,0,Tesla Model Y,BEV,Light-Duty (Class 1-2)
