GISJOIN,a_time_interval_,a_speed_ratio_col_
G08001950,2020-10-05 00:00:00,0.8260978063479405
G08001950,2020-10-05 01:00:00,0.8151741819291257
G08001950,2020-10-05 02:00:00,0.8754996638105886
G08001950,2020-10-05 03:00:00,0.9186788013674116
G08001950,2020-10-05 04:00:00,0.9013234014214131
G08001950,2020-10-05 05:00:00,0.8657943902377007
G08001950,2020-10-05 06:00:00,0.7824106763195711
G08001950,2020-10-05 07:00:00,0.7419923079719472
G08001950,2020-10-05 08:00:00,0.7547222424965067
G08001950,2020-10-05 09:00:00,0.7931886467435564
G08001950,2020-10-05 10:00:00,0.782517790597912
G08001950,2020-10-05 11:00:00,0.7916170696543587
G08001950,2020-10-05 12:00:00,0.7745365906882283
G08001950,2020-10-05 13:00:00,0.7703070827179388
G08001950,2020-10-05 14:00:00,0.7725585080833426
G08001950,2020-10-05 15:00:00,0.7284363223396602
G08001950,2020-10-05 16:00:00,0.7408327505738148
G08001950,2020-10-05 17:00:00,0.7412075564285656
G08001950,2020-10-05 18:00:00,0.825489925778971
G08001950,2020-10-05 19:00:00,0.8508213443081051
G08001950,2020-10-05 20:00:00,0.8653195097351644
G08001950,2020-10-05 21:00:00,0.8820736157926197
G08001950,2020-10-05 22:00:00,0.85737078851325
G08001950,2020-10-05 23:00:00,0.879317947718743
G08001950,2020-10-06 00:00:00,0.8718018383065038
G08001950,2020-10-06 01:00:00,0.8853010113048113
G08001950,2020-10-06 02:00:00,0.8668796915005926
G08001950,2020-10-06 03:00:00,0.8591933134578363
G08001950,2020-10-06 04:00:00,0.8743955807937711
G08001950,2020-10-06 05:00:00,0.8643200439236282
G08001950,2020-10-06 06:00:00,0.7633614214765785
G08001950,2020-10-06 07:00:00,0.7219390593607055
G08001950,2020-10-06 08:00:00,0.7426689028460254
G08001950,2020-10-06 09:00:00,0.7772048340221502
G08001950,2020-10-06 10:00:00,0.7882030188912162
G08001950,2020-10-06 11:00:00,0.7796244062351705
G08001950,2020-10-06 12:00:00,0.7672133221996338
G08001950,2020-10-06 13:00:00,0.7837494449689434
G08001950,2020-10-06 14:00:00,0.7614924793743449
G08001950,2020-10-06 15:00:00,0.7305448522588349
G08001950,2020-10-06 16:00:00,0.717618251233516
G08001950,2020-10-06 17:00:00,0.7404949899494011
G08001950,2020-10-06 18:00:00,0.7969863775255965
G08001950,2020-10-06 19:00:00,0.8439558316845225
G08001950,2020-10-06 20:00:00,0.8636254854764692
G08001950,2020-10-06 21:00:00,0.8721938840052714
G08001950,2020-10-06 22:00:00,0.842658030306896
G08001950,2020-10-06 23:00:00,0.8781868661900182
G08001950,2020-10-07 00:00:00,0.8530702733163505
G08001950,2020-10-07 01:00:00,0.9171622307951596
G08001950,2020-10-07 02:00:00,0.872769039049263
G08001950,2020-10-07 03:00:00,0.8826178901939474
G08001950,2020-10-07 04:00:00,0.8870227454898993
G08001950,2020-10-07 05:00:00,0.863916604621362
G08001950,2020-10-07 06:00:00,0.765205785491289
G08001950,2020-10-07 07:00:00,0.7289970170891075
G08001950,2020-10-07 08:00:00,0.7724999992597761
G08001950,2020-10-07 09:00:00,0.8006005283167591
G08001950,2020-10-07 10:00:00,0.7883815818667526
G08001950,2020-10-07 11:00:00,0.7927362898464253
G08001950,2020-10-07 12:00:00,0.7852253514787239
G08001950,2020-10-07 13:00:00,0.773837104480276
G08001950,2020-10-07 14:00:00,0.7675684919410459
G08001950,2020-10-07 15:00:00,0.7436946037416433
G08001950,2020-10-07 16:00:00,0.7393455504368078
G08001950,2020-10-07 17:00:00,0.7159891920309432
G08001950,2020-10-07 18:00:00,0.7807419141383591
G08001950,2020-10-07 19:00:00,0.8303826642073913
G08001950,2020-10-07 20:00:00,0.8735878664110153
G08001950,2020-10-07 21:00:00,0.8725412963867839
